,Z values,position,total,lacune,microbleeds,PVS,WMH
162,2.2300136460107773,BG_mean,0,0,2,0,0
163,2.3304473208129464,TH_mean,0,0,2,0,0
164,2.10638633023258,GM_mean,0,0,2,0,0
165,2.4695873760229703,total_mean,0,0,2,0,0
166,2.957706577386725,frontal_mean,0,0,2,0,1
167,2.0341905837834284,Parietal_mean,0,0,2,0,1
168,2.508493335480291,WM_mean,0,0,2,0,1
169,3.1231254794065992,CH_mean,0,0,2,0,1
170,2.2300136460107773,BG_mean,0,0,2,0,1
171,2.3304473208129464,TH_mean,0,0,2,0,1
172,2.10638633023258,GM_mean,0,0,2,0,1
173,2.4695873760229703,total_mean,0,0,2,0,1
174,2.1618368535373254,frontal_mean,0,0,2,0,2
175,1.9645985084803148,WM_mean,0,0,2,0,2
176,2.872615990103849,CH_mean,0,0,2,0,2
177,2.0288847240137518,total_mean,0,0,2,0,2
178,2.2538240686165785,frontal_mean,0,0,2,0,3
179,2.10666022964697,WM_mean,0,0,2,0,3
180,2.7201534411957624,CH_mean,0,0,2,0,3
181,2.957706577386725,frontal_mean,0,0,2,2,0
182,2.0341905837834284,Parietal_mean,0,0,2,2,0
183,2.508493335480291,WM_mean,0,0,2,2,0
184,3.1231254794065992,CH_mean,0,0,2,2,0
185,2.2300136460107773,BG_mean,0,0,2,2,0
186,2.3304473208129464,TH_mean,0,0,2,2,0
187,2.10638633023258,GM_mean,0,0,2,2,0
188,2.4695873760229703,total_mean,0,0,2,2,0
189,2.957706577386725,frontal_mean,0,0,2,2,1
190,2.0341905837834284,Parietal_mean,0,0,2,2,1
191,2.508493335480291,WM_mean,0,0,2,2,1
192,3.1231254794065992,CH_mean,0,0,2,2,1
193,2.2300136460107773,BG_mean,0,0,2,2,1
194,2.3304473208129464,TH_mean,0,0,2,2,1
195,2.10638633023258,GM_mean,0,0,2,2,1
196,2.4695873760229703,total_mean,0,0,2,2,1
197,2.1618368535373254,frontal_mean,0,0,2,2,2
198,1.9645985084803148,WM_mean,0,0,2,2,2
199,2.872615990103849,CH_mean,0,0,2,2,2
200,2.0288847240137518,total_mean,0,0,2,2,2
201,2.2538240686165785,frontal_mean,0,0,2,2,3
202,2.10666022964697,WM_mean,0,0,2,2,3
203,2.7201534411957624,CH_mean,0,0,2,2,3
204,2.957706577386725,frontal_mean,0,0,2,3,0
